,Splicing Gene,phenotype,Expression Gene,Pearson R,event_id,modality,gene_name,Correlation Direction
100672,EIF6,MN,ENSG00000049860,-0.590284228247,exon:chr20:33871979-33872295:-@exon:chr20:33868457-33868632:-@exon:chr20:33867745-33867921:-,bimodal,HEXB,(-) Negative
102304,EIF6,MN,ENSG00000104870,-0.653406012595,exon:chr20:33871979-33872295:-@exon:chr20:33868457-33868632:-@exon:chr20:33867745-33867921:-,bimodal,FCGRT,(-) Negative
102522,EIF6,MN,ENSG00000106538,-0.521954483864,exon:chr20:33871979-33872295:-@exon:chr20:33868457-33868632:-@exon:chr20:33867745-33867921:-,bimodal,RARRES2,(-) Negative
104285,EIF6,MN,ENSG00000128513,-0.540162775194,exon:chr20:33871979-33872295:-@exon:chr20:33868457-33868632:-@exon:chr20:33867745-33867921:-,bimodal,POT1,(-) Negative
105161,EIF6,MN,ENSG00000136819,-0.521281179152,exon:chr20:33871979-33872295:-@exon:chr20:33868457-33868632:-@exon:chr20:33867745-33867921:-,bimodal,C9orf78,(-) Negative
105581,EIF6,MN,ENSG00000140600,-0.626129800522,exon:chr20:33871979-33872295:-@exon:chr20:33868457-33868632:-@exon:chr20:33867745-33867921:-,bimodal,SH3GL3,(-) Negative
105904,EIF6,MN,ENSG00000143970,-0.605362556033,exon:chr20:33871979-33872295:-@exon:chr20:33868457-33868632:-@exon:chr20:33867745-33867921:-,bimodal,ASXL2,(-) Negative
106301,EIF6,MN,ENSG00000148680,-0.551111797424,exon:chr20:33871979-33872295:-@exon:chr20:33868457-33868632:-@exon:chr20:33867745-33867921:-,bimodal,HTR7,(-) Negative
106354,EIF6,MN,ENSG00000149474,-0.532483693262,exon:chr20:33871979-33872295:-@exon:chr20:33868457-33868632:-@exon:chr20:33867745-33867921:-,bimodal,CSRP2BP,(-) Negative
106530,EIF6,MN,ENSG00000152022,-0.518841302746,exon:chr20:33871979-33872295:-@exon:chr20:33868457-33868632:-@exon:chr20:33867745-33867921:-,bimodal,LIX1L,(-) Negative
106544,EIF6,MN,ENSG00000152208,-0.551135705629,exon:chr20:33871979-33872295:-@exon:chr20:33868457-33868632:-@exon:chr20:33867745-33867921:-,bimodal,GRID2,(-) Negative
107869,EIF6,MN,ENSG00000166073,-0.509995846115,exon:chr20:33871979-33872295:-@exon:chr20:33868457-33868632:-@exon:chr20:33867745-33867921:-,bimodal,GPR176,(-) Negative
107888,EIF6,MN,ENSG00000166173,-0.516274968004,exon:chr20:33871979-33872295:-@exon:chr20:33868457-33868632:-@exon:chr20:33867745-33867921:-,bimodal,LARP6,(-) Negative
108517,EIF6,MN,ENSG00000170854,-0.545609860904,exon:chr20:33871979-33872295:-@exon:chr20:33868457-33868632:-@exon:chr20:33867745-33867921:-,bimodal,MINA,(-) Negative
108707,EIF6,MN,ENSG00000172456,-0.615453736527,exon:chr20:33871979-33872295:-@exon:chr20:33868457-33868632:-@exon:chr20:33867745-33867921:-,bimodal,FGGY,(-) Negative
109416,EIF6,MN,ENSG00000180855,-0.521410796236,exon:chr20:33871979-33872295:-@exon:chr20:33868457-33868632:-@exon:chr20:33867745-33867921:-,bimodal,ZNF443,(-) Negative
109853,EIF6,MN,ENSG00000185504,-0.570807452248,exon:chr20:33871979-33872295:-@exon:chr20:33868457-33868632:-@exon:chr20:33867745-33867921:-,bimodal,C17orf70,(-) Negative
110037,EIF6,MN,ENSG00000187288,-0.512203914154,exon:chr20:33871979-33872295:-@exon:chr20:33868457-33868632:-@exon:chr20:33867745-33867921:-,bimodal,CIDEC,(-) Negative
110139,EIF6,MN,ENSG00000188486,-0.837194084517,exon:chr20:33871979-33872295:-@exon:chr20:33868457-33868632:-@exon:chr20:33867745-33867921:-,bimodal,H2AFX,(-) Negative
110216,EIF6,MN,ENSG00000189308,-0.541017729262,exon:chr20:33871979-33872295:-@exon:chr20:33868457-33868632:-@exon:chr20:33867745-33867921:-,bimodal,LIN54,(-) Negative
110463,EIF6,MN,ENSG00000197472,-0.554581133745,exon:chr20:33871979-33872295:-@exon:chr20:33868457-33868632:-@exon:chr20:33867745-33867921:-,bimodal,ZNF695,(-) Negative
110869,EIF6,MN,ENSG00000204344,-0.660814034197,exon:chr20:33871979-33872295:-@exon:chr20:33868457-33868632:-@exon:chr20:33867745-33867921:-,bimodal,STK19,(-) Negative
111828,EIF6,MN,ENSG00000232301,-0.589848694795,exon:chr20:33871979-33872295:-@exon:chr20:33868457-33868632:-@exon:chr20:33867745-33867921:-,bimodal,RP11-132A1.3,(-) Negative
112394,EIF6,MN,ENSG00000245060,-0.522619105249,exon:chr20:33871979-33872295:-@exon:chr20:33868457-33868632:-@exon:chr20:33867745-33867921:-,bimodal,LINC00847,(-) Negative
112608,EIF6,MN,ENSG00000249971,-0.519591205688,exon:chr20:33871979-33872295:-@exon:chr20:33868457-33868632:-@exon:chr20:33867745-33867921:-,bimodal,RP11-256P1.1,(-) Negative
113165,EIF6,MN,ENSG00000258609,-0.612643791522,exon:chr20:33871979-33872295:-@exon:chr20:33868457-33868632:-@exon:chr20:33867745-33867921:-,bimodal,LINC-ROR,(-) Negative
113471,EIF6,MN,ENSG00000260946,-0.54979338536,exon:chr20:33871979-33872295:-@exon:chr20:33868457-33868632:-@exon:chr20:33867745-33867921:-,bimodal,RP11-407G23.3,(-) Negative
113786,EIF6,MN,ENSG00000265817,-0.612643791522,exon:chr20:33871979-33872295:-@exon:chr20:33868457-33868632:-@exon:chr20:33867745-33867921:-,bimodal,FSBP,(-) Negative
113925,EIF6,MN,ENSG00000267426,-0.61633142677,exon:chr20:33871979-33872295:-@exon:chr20:33868457-33868632:-@exon:chr20:33867745-33867921:-,bimodal,RP11-552F3.12,(-) Negative
114326,EIF6,MN,ENSG00000271996,0.504104440423,exon:chr20:33871979-33872295:-@exon:chr20:33868457-33868632:-@exon:chr20:33867745-33867921:-,bimodal,RP11-337N6.1,(+) Positive
114387,EIF6,MN,ENSG00000272540,0.501552200986,exon:chr20:33871979-33872295:-@exon:chr20:33868457-33868632:-@exon:chr20:33867745-33867921:-,bimodal,XXbac-BPG252P9.9,(+) Positive
